Acedamic percentage in 10th,percentage in 12th,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,Interested subjects,interested career area,Suggested Job Role
72.9217858,77.40297707,1,2,6,6,yes,no,distro making,game development,programming,security,Network Security Engineer
72.91830348,77.40635014,1,5,5,6,yes,yes,information security,testing,Management,developer,Network Security Engineer
72.91482116,77.40972321,6,3,4,2,yes,no,app development,game development,Software Engineering,system developer,Network Security Engineer
72.91133885,77.41309628,4,6,2,3,yes,no,app development,cloud computing,parallel computing,Business process analyst,Network Security Engineer
72.90785653,77.41646935,2,3,4,2,no,yes,machine learning,database security,cloud computing,security,Network Security Engineer
72.90437421,77.41984242,4,2,5,1,no,no,r programming,testing,IOT,system developer,Network Security Engineer
72.90089189,77.42321548,8,1,8,8,yes,no,shell programming,testing,hacking,cloud computing,Network Security Engineer
72.89740957,77.42658855,1,5,2,3,yes,yes,shell programming,cloud computing,Software Engineering,testing,Network Security Engineer
72.89392726,77.42996162,5,0,3,4,yes,no,full stack,web technologies,Software Engineering,testing,Network Security Engineer
72.89044494,77.43333469,7,1,9,7,no,no,machine learning,database security,data engineering,testing,Network Security Engineer
72.88696262,77.43670776,7,6,6,5,yes,yes,hadoop,web technologies,data engineering,developer,Network Security Engineer
72.8834803,77.44008083,1,1,4,6,yes,yes,machine learning,testing,parallel computing,developer,Network Security Engineer
72.87999798,77.4434539,1,3,5,6,no,yes,app development,data science,Management,Business process analyst,Network Security Engineer
72.87651567,77.44682697,8,4,3,1,no,yes,full stack,web technologies,hacking,cloud computing,Network Security Engineer
72.87303335,77.45020004,9,6,1,2,yes,no,app development,system designing,parallel computing,developer,Network Security Engineer
72.86955103,77.45357311,1,3,7,8,no,yes,distro making,cloud computing,hacking,cloud computing,Network Security Engineer
72.86606871,77.45694618,3,2,3,7,yes,yes,information security,web technologies,Computer Architecture,developer,Network Security Engineer
72.86258639,77.46031925,6,6,3,5,yes,yes,r programming,data science,hacking,Business process analyst,Network Security Engineer
72.85910408,77.46369232,7,5,8,7,no,yes,app development,testing,hacking,Business process analyst,Network Security Engineer
72.85562176,77.46706539,2,1,4,2,no,yes,hadoop,web technologies,programming,Business process analyst,Network Security Engineer
72.85213944,77.47043846,5,5,8,6,no,yes,distro making,data science,IOT,security,Network Security Engineer
72.84865712,77.47381153,9,1,6,3,no,yes,shell programming,data science,data engineering,cloud computing,Network Security Engineer
72.8451748,77.4771846,6,0,8,4,no,yes,app development,data science,cloud computing,developer,Network Security Engineer
72.84169249,77.48055767,4,0,5,8,no,yes,shell programming,system designing,programming,developer,Network Security Engineer
72.83821017,77.48393074,5,2,6,3,yes,no,r programming,web technologies,Computer Architecture,security,Network Security Engineer
72.83472785,77.48730381,8,5,2,2,no,no,shell programming,web technologies,Computer Architecture,testing,Network Security Engineer
72.83124553,77.49067687,6,2,3,4,yes,no,machine learning,game development,data engineering,cloud computing,Network Security Engineer
72.82776322,77.49404994,4,0,3,5,yes,no,information security,hacking,cloud computing,security,Network Security Engineer
72.8242809,77.49742301,8,1,4,7,yes,yes,app development,web technologies,IOT,system developer,Network Security Engineer
72.82079858,77.50079608,1,5,5,2,yes,no,distro making,database security,networks,testing,Network Security Engineer
72.81731626,77.50416915,3,1,1,8,no,no,machine learning,game development,programming,cloud computing,Network Security Engineer
72.81383394,77.50754222,2,6,7,4,no,no,python,game development,Software Engineering,Business process analyst,Network Security Engineer
72.81035163,77.51091529,7,5,6,7,yes,yes,information security,testing,IOT,cloud computing,Network Security Engineer
72.80686931,77.51428836,4,4,5,8,no,yes,python,game development,Software Engineering,cloud computing,Network Security Engineer
72.80338699,77.51766143,6,2,3,2,yes,no,shell programming,game development,networks,developer,Network Security Engineer
72.79990467,77.5210345,8,1,2,5,yes,yes,r programming,web technologies,hacking,testing,Network Security Engineer
72.79642235,77.52440757,2,1,8,8,no,no,r programming,game development,networks,system developer,Network Security Engineer
72.79294004,77.52778064,9,2,1,8,yes,yes,python,hacking,IOT,developer,Network Security Engineer
72.78945772,77.53115371,3,4,5,6,no,no,shell programming,cloud computing,parallel computing,system developer,Network Security Engineer
72.7859754,77.53452678,4,6,2,1,no,no,python,data science,parallel computing,testing,Network Security Engineer
72.78249308,77.53789985,1,2,7,1,yes,yes,r programming,system designing,Software Engineering,developer,Network Security Engineer
72.77901076,77.54127292,8,1,7,4,yes,no,python,database security,networks,testing,Network Security Engineer
72.77552845,77.54464599,5,3,7,7,no,yes,full stack,testing,parallel computing,Business process analyst,Network Security Engineer
72.77204613,77.54801906,1,3,1,1,no,no,shell programming,data science,cloud computing,developer,Network Security Engineer
72.76856381,77.55139213,4,5,5,5,no,yes,full stack,testing,Software Engineering,Business process analyst,Network Security Engineer
72.76508149,77.5547652,6,4,5,3,yes,yes,python,cloud computing,Software Engineering,system developer,Network Security Engineer
72.76159917,77.55813826,8,0,7,2,no,no,distro making,data science,Computer Architecture,testing,Network Security Engineer
72.75811686,77.56151133,3,3,4,2,no,no,information security,data science,networks,cloud computing,Network Security Engineer
72.75463454,77.5648844,1,4,4,7,yes,no,distro making,hacking,parallel computing,system developer,Network Security Engineer
72.75115222,77.56825747,1,1,7,8,no,no,machine learning,hacking,Computer Architecture,cloud computing,Network Security Engineer
72.7476699,77.57163054,9,4,1,3,yes,no,machine learning,hacking,Computer Architecture,cloud computing,Network Security Engineer
72.74418758,77.57500361,8,4,1,7,no,no,hadoop,database security,programming,system developer,Network Security Engineer
72.74070527,77.57837668,8,1,9,4,no,no,machine learning,testing,Software Engineering,Business process analyst,Network Security Engineer
72.73722295,77.58174975,1,4,7,5,yes,no,shell programming,testing,parallel computing,testing,Network Security Engineer
72.73374063,77.58512282,3,2,4,3,no,no,hadoop,database security,IOT,testing,Network Security Engineer
72.73025831,77.58849589,8,5,5,4,yes,yes,shell programming,testing,cloud computing,developer,Network Security Engineer
72.726776,77.59186896,5,0,1,4,yes,no,full stack,system designing,programming,developer,Network Security Engineer
72.72329368,77.59524203,8,4,8,9,yes,no,r programming,cloud computing,Computer Architecture,Business process analyst,Network Security Engineer
72.71981136,77.5986151,1,2,1,6,no,yes,machine learning,system designing,parallel computing,cloud computing,Network Security Engineer
72.71632904,77.60198817,8,3,1,8,no,no,shell programming,testing,networks,system developer,Network Security Engineer
72.71284672,77.60536124,9,0,5,4,no,no,machine learning,game development,IOT,Business process analyst,Network Security Engineer
72.70936441,77.60873431,7,5,2,3,yes,yes,distro making,cloud computing,IOT,cloud computing,Network Security Engineer
72.70588209,77.61210738,5,0,2,3,yes,no,machine learning,web technologies,networks,Business process analyst,Network Security Engineer
72.70239977,77.61548045,8,0,3,7,no,no,hadoop,system designing,data engineering,cloud computing,Network Security Engineer
72.69891745,77.61885352,3,2,7,5,no,no,distro making,data science,programming,system developer,Network Security Engineer
72.69543513,77.62222658,9,0,1,3,yes,no,machine learning,system designing,Management,Business process analyst,Network Security Engineer
72.69195282,77.62559965,3,6,3,1,no,yes,python,cloud computing,data engineering,Business process analyst,Network Security Engineer
72.6884705,77.62897272,6,4,7,4,no,no,full stack,game development,Computer Architecture,system developer,Network Security Engineer
72.68498818,77.63234579,3,1,7,6,yes,yes,python,cloud computing,networks,system developer,Network Security Engineer
72.68150586,77.63571886,9,3,7,7,no,yes,distro making,hacking,Management,security,Network Security Engineer
72.67802354,77.63909193,4,2,9,8,yes,yes,shell programming,database security,Management,developer,Network Security Engineer
72.67454123,77.642465,4,3,8,1,yes,no,hadoop,web technologies,Software Engineering,cloud computing,Network Security Engineer
72.67105891,77.64583807,5,6,2,5,no,no,shell programming,hacking,Computer Architecture,cloud computing,Network Security Engineer
72.66757659,77.64921114,8,5,2,6,no,no,hadoop,cloud computing,parallel computing,testing,Network Security Engineer
72.66409427,77.65258421,1,0,6,7,yes,no,information security,game development,Computer Architecture,testing,Network Security Engineer
72.66061195,77.65595728,3,0,5,7,no,no,full stack,database security,networks,developer,Network Security Engineer
72.65712964,77.65933035,6,3,7,3,yes,no,shell programming,hacking,parallel computing,Business process analyst,Network Security Engineer
72.65364732,77.66270342,8,3,6,7,yes,yes,r programming,hacking,data engineering,cloud computing,Network Security Engineer
72.650165,77.66607649,4,2,9,7,yes,no,shell programming,game development,networks,system developer,Network Security Engineer
72.64668268,77.66944956,4,6,3,1,yes,yes,information security,database security,parallel computing,Business process analyst,Network Security Engineer
72.64320036,77.67282263,9,3,7,9,no,yes,full stack,hacking,networks,security,Network Security Engineer
72.63971805,77.6761957,4,3,4,9,yes,yes,hadoop,data science,Software Engineering,testing,Network Security Engineer
72.63623573,77.67956877,2,5,7,2,yes,no,r programming,web technologies,networks,Business process analyst,Network Security Engineer
72.63275341,77.68294184,6,0,2,4,yes,no,app development,database security,IOT,Business process analyst,Network Security Engineer
72.62927109,77.68631491,5,6,3,4,no,no,shell programming,data science,data engineering,Business process analyst,Network Security Engineer
72.62578878,77.68968797,7,2,9,1,no,yes,hadoop,cloud computing,Software Engineering,security,Network Security Engineer
72.62230646,77.69306104,1,0,1,8,yes,no,machine learning,web technologies,Management,cloud computing,Network Security Engineer
72.61882414,77.69643411,7,3,3,7,no,no,full stack,system designing,parallel computing,testing,Network Security Engineer
72.61534182,77.69980718,3,3,8,9,yes,no,python,game development,Management,security,Network Security Engineer
72.6118595,77.70318025,3,1,8,3,yes,yes,python,game development,networks,developer,Network Security Engineer
72.60837719,77.70655332,4,3,5,9,yes,yes,python,web technologies,Software Engineering,security,Network Security Engineer
72.60489487,77.70992639,3,6,2,8,no,no,distro making,data science,cloud computing,security,Network Security Engineer
72.60141255,77.71329946,2,2,9,8,no,yes,python,database security,cloud computing,developer,Network Security Engineer
72.59793023,77.71667253,2,2,7,8,yes,no,distro making,testing,hacking,cloud computing,Network Security Engineer
72.59444791,77.7200456,6,4,1,2,yes,no,app development,database security,hacking,cloud computing,Network Security Engineer
72.5909656,77.72341867,4,6,5,9,yes,no,machine learning,cloud computing,Software Engineering,security,Network Security Engineer
72.58748328,77.72679174,2,1,1,1,yes,yes,hadoop,web technologies,programming,developer,Network Security Engineer
72.58400096,77.73016481,7,2,3,1,no,no,distro making,cloud computing,IOT,cloud computing,Network Security Engineer
72.58051864,77.73353788,7,4,6,2,yes,yes,information security,game development,Software Engineering,Business process analyst,Network Security Engineer
72.57703632,77.73691095,4,1,4,5,yes,no,app development,hacking,IOT,cloud computing,Network Security Engineer
72.57355401,77.74028402,2,3,4,7,yes,yes,hadoop,hacking,cloud computing,cloud computing,Network Security Engineer
72.57007169,77.74365709,5,1,6,6,no,yes,full stack,data science,Software Engineering,system developer,Network Security Engineer
72.56658937,77.74703016,1,3,5,5,no,no,hadoop,cloud computing,parallel computing,developer,Network Security Engineer
72.56310705,77.75040323,8,1,4,6,yes,yes,r programming,database security,parallel computing,security,Network Security Engineer
72.55962473,77.7537763,6,6,1,7,yes,no,shell programming,hacking,IOT,Business process analyst,Network Security Engineer
72.55614242,77.75714936,9,3,4,8,no,yes,information security,hacking,hacking,testing,Network Security Engineer
72.5526601,77.76052243,4,6,1,1,yes,yes,app development,testing,Management,security,Network Security Engineer
72.54917778,77.7638955,2,6,9,9,no,no,r programming,testing,data engineering,cloud computing,Network Security Engineer
72.54569546,77.76726857,8,4,6,7,no,no,hadoop,hacking,IOT,security,Network Security Engineer
72.54221314,77.77064164,2,0,7,1,no,no,hadoop,web technologies,networks,system developer,Network Security Engineer
72.53873083,77.77401471,3,2,3,5,yes,no,r programming,game development,IOT,cloud computing,Network Security Engineer
72.53524851,77.77738778,3,6,5,6,no,yes,r programming,data science,networks,security,Network Security Engineer
72.53176619,77.78076085,6,6,6,9,no,no,shell programming,cloud computing,Software Engineering,security,Network Security Engineer
72.52828387,77.78413392,5,3,7,2,yes,yes,distro making,database security,cloud computing,testing,Network Security Engineer
72.52480156,77.78750699,6,0,5,2,yes,no,information security,cloud computing,Computer Architecture,system developer,Network Security Engineer
72.52131924,77.79088006,7,6,4,5,no,yes,r programming,database security,IOT,system developer,Network Security Engineer
72.51783692,77.79425313,6,6,1,8,no,no,distro making,cloud computing,IOT,security,Network Security Engineer
72.5143546,77.7976262,1,0,6,2,yes,yes,shell programming,cloud computing,parallel computing,Business process analyst,Network Security Engineer
72.51087228,77.80099927,1,0,2,3,yes,no,distro making,cloud computing,IOT,system developer,Network Security Engineer
72.50738997,77.80437234,5,6,8,2,no,yes,shell programming,game development,cloud computing,system developer,Network Security Engineer
72.50390765,77.80774541,5,5,6,4,yes,no,app development,system designing,Computer Architecture,developer,Network Security Engineer
72.50042533,77.81111848,2,2,3,8,yes,no,information security,game development,Software Engineering,cloud computing,Network Security Engineer
72.49694301,77.81449155,8,5,8,8,no,yes,python,testing,data engineering,testing,Network Security Engineer
72.49346069,77.81786462,4,0,5,1,no,no,information security,web technologies,networks,security,Network Security Engineer
72.48997838,77.82123768,2,2,8,4,no,no,full stack,cloud computing,IOT,system developer,Network Security Engineer
72.48649606,77.82461075,6,4,4,6,no,no,python,database security,cloud computing,security,Network Security Engineer
72.48301374,77.82798382,3,4,5,5,yes,yes,python,web technologies,data engineering,Business process analyst,Network Security Engineer
72.47953142,77.83135689,2,5,9,3,no,yes,full stack,web technologies,networks,security,Network Security Engineer
72.4760491,77.83472996,7,3,4,9,no,no,r programming,testing,hacking,cloud computing,Network Security Engineer
72.47256679,77.83810303,6,2,3,4,yes,yes,machine learning,cloud computing,hacking,security,Network Security Engineer
72.46908447,77.8414761,7,0,9,6,yes,yes,r programming,database security,networks,testing,Network Security Engineer
72.46560215,77.84484917,6,0,5,1,yes,no,r programming,hacking,programming,Business process analyst,Network Security Engineer
72.46211983,77.84822224,1,6,5,5,no,yes,app development,cloud computing,hacking,developer,Network Security Engineer
72.45863751,77.85159531,7,0,1,1,no,no,hadoop,system designing,parallel computing,system developer,Network Security Engineer
72.4551552,77.85496838,5,1,2,9,no,no,distro making,cloud computing,parallel computing,system developer,Network Security Engineer
72.45167288,77.85834145,9,3,3,2,yes,no,information security,database security,cloud computing,developer,Network Security Engineer
72.44819056,77.86171452,3,4,4,9,no,no,information security,system designing,networks,system developer,Network Security Engineer
72.44470824,77.86508759,3,5,5,1,yes,yes,full stack,testing,networks,security,Network Security Engineer
72.44122592,77.86846066,8,1,7,8,no,no,full stack,data science,parallel computing,cloud computing,Network Security Engineer
72.43774361,77.87183373,3,2,2,1,yes,no,machine learning,data science,networks,Business process analyst,Network Security Engineer
72.43426129,77.8752068,9,5,6,2,yes,no,hadoop,cloud computing,programming,system developer,Network Security Engineer
72.43077897,77.87857987,5,3,9,5,yes,yes,shell programming,hacking,data engineering,developer,Network Security Engineer
72.42729665,77.88195294,2,4,4,7,yes,yes,hadoop,database security,data engineering,system developer,Network Security Engineer
72.42381434,77.88532601,6,3,1,6,yes,yes,hadoop,hacking,networks,cloud computing,Network Security Engineer
72.42033202,77.88869907,8,4,8,3,no,yes,full stack,web technologies,Management,testing,Network Security Engineer
72.4168497,77.89207214,8,0,3,7,yes,yes,full stack,web technologies,IOT,testing,Network Security Engineer
72.41336738,77.89544521,2,1,5,6,yes,no,hadoop,database security,data engineering,cloud computing,Network Security Engineer
72.40988506,77.89881828,4,2,7,1,no,yes,machine learning,cloud computing,Management,system developer,Network Security Engineer
72.40640275,77.90219135,2,5,1,2,yes,no,app development,web technologies,Computer Architecture,system developer,Network Security Engineer
72.40292043,77.90556442,7,4,9,5,yes,yes,full stack,testing,Computer Architecture,testing,Network Security Engineer
72.39943811,77.90893749,5,4,9,1,no,no,r programming,data science,parallel computing,developer,Network Security Engineer
72.39595579,77.91231056,4,4,9,8,no,yes,shell programming,testing,Management,system developer,Network Security Engineer
72.39247347,77.91568363,5,6,5,2,yes,no,python,database security,Computer Architecture,developer,Network Security Engineer
72.38899116,77.9190567,9,1,3,2,no,no,full stack,testing,IOT,cloud computing,Network Security Engineer
72.38550884,77.92242977,6,1,4,1,yes,yes,full stack,cloud computing,parallel computing,system developer,Network Security Engineer
72.38202652,77.92580284,3,6,4,6,no,yes,information security,system designing,data engineering,developer,Network Security Engineer
72.3785442,77.92917591,3,0,2,1,yes,no,machine learning,cloud computing,Management,developer,Network Security Engineer
72.37506188,77.93254898,9,0,7,4,yes,yes,information security,hacking,parallel computing,Business process analyst,Network Security Engineer
72.37157957,77.93592205,6,2,6,1,yes,yes,machine learning,web technologies,cloud computing,security,Network Security Engineer
72.36809725,77.93929512,1,2,4,5,no,no,machine learning,database security,Software Engineering,Business process analyst,Network Security Engineer
72.36461493,77.94266819,6,6,6,2,no,no,full stack,cloud computing,hacking,Business process analyst,Network Security Engineer
72.36113261,77.94604126,8,4,4,5,yes,no,information security,web technologies,hacking,security,Network Security Engineer
72.35765029,77.94941433,4,0,1,9,no,yes,r programming,hacking,Computer Architecture,security,Network Security Engineer
72.35416798,77.9527874,9,5,8,1,no,yes,shell programming,data science,cloud computing,security,Network Security Engineer
72.35068566,77.95616046,9,3,5,8,no,yes,python,system designing,parallel computing,security,Network Security Engineer
72.34720334,77.95953353,6,2,9,3,yes,no,hadoop,system designing,networks,security,Network Security Engineer
72.34372102,77.9629066,8,6,8,4,no,yes,python,game development,programming,Business process analyst,Network Security Engineer
72.3402387,77.96627967,7,4,5,1,no,yes,app development,database security,Computer Architecture,Business process analyst,Network Security Engineer
72.33675639,77.96965274,6,4,4,3,yes,no,hadoop,cloud computing,data engineering,Business process analyst,Network Security Engineer
72.33327407,77.97302581,1,3,1,5,yes,yes,distro making,database security,programming,developer,Network Security Engineer
72.32979175,77.97639888,6,6,4,2,no,yes,hadoop,hacking,programming,Business process analyst,Network Security Engineer
72.32630943,77.97977195,6,1,5,8,yes,no,distro making,hacking,Computer Architecture,developer,Network Security Engineer
72.32282712,77.98314502,3,2,3,7,yes,no,shell programming,game development,networks,developer,Network Security Engineer
72.3193448,77.98651809,2,4,9,2,no,no,full stack,database security,hacking,Business process analyst,Network Security Engineer
72.31586248,77.98989116,4,6,3,6,yes,no,hadoop,game development,Software Engineering,cloud computing,Network Security Engineer
72.31238016,77.99326423,7,1,4,4,no,no,shell programming,data science,data engineering,testing,Network Security Engineer
72.30889784,77.9966373,2,3,2,4,yes,yes,full stack,game development,Computer Architecture,Business process analyst,Network Security Engineer
72.30541553,78.00001037,6,3,4,1,no,no,machine learning,hacking,hacking,security,Network Security Engineer
72.30193321,78.00338344,8,6,8,1,yes,yes,full stack,hacking,Management,system developer,Network Security Engineer
72.29845089,78.00675651,2,6,4,3,yes,yes,shell programming,game development,IOT,testing,Network Security Engineer
72.29496857,78.01012958,3,2,7,6,yes,no,hadoop,cloud computing,networks,Business process analyst,Network Security Engineer
72.29148625,78.01350265,9,1,8,4,no,yes,python,testing,programming,testing,Network Security Engineer
72.28800394,78.01687572,9,1,1,1,no,no,python,data science,data engineering,testing,Network Security Engineer
72.28452162,78.02024878,9,2,5,1,yes,no,python,web technologies,Computer Architecture,security,Network Security Engineer
72.2810393,78.02362185,8,6,9,1,no,no,app development,game development,programming,testing,Network Security Engineer
72.27755698,78.02699492,6,4,9,1,yes,yes,machine learning,hacking,Software Engineering,Business process analyst,Network Security Engineer
72.27407466,78.03036799,3,6,2,7,no,yes,hadoop,game development,Software Engineering,cloud computing,Network Security Engineer
72.27059235,78.03374106,6,2,2,9,yes,no,information security,web technologies,data engineering,Business process analyst,Network Security Engineer
72.26711003,78.03711413,2,4,1,5,yes,yes,r programming,game development,Software Engineering,Business process analyst,Network Security Engineer
72.26362771,78.0404872,9,5,8,2,no,yes,distro making,system designing,networks,security,Network Security Engineer
72.26014539,78.04386027,8,5,7,8,yes,yes,python,database security,cloud computing,system developer,Network Security Engineer
72.25666307,78.04723334,1,3,9,9,yes,yes,python,game development,data engineering,security,Network Security Engineer
72.25318076,78.05060641,5,6,9,1,yes,yes,app development,data science,hacking,developer,Network Security Engineer
72.24969844,78.05397948,1,6,3,7,yes,yes,shell programming,testing,programming,developer,Network Security Engineer
72.24621612,78.05735255,1,0,7,1,yes,yes,distro making,testing,data engineering,cloud computing,Network Security Engineer
72.2427338,78.06072562,1,5,9,5,no,no,r programming,cloud computing,IOT,developer,Network Security Engineer
72.23925149,78.06409869,4,5,9,3,yes,no,distro making,cloud computing,Management,security,Network Security Engineer
72.23576917,78.06747176,8,4,6,4,no,no,python,web technologies,programming,security,Network Security Engineer
72.23228685,78.07084483,2,1,7,6,no,no,python,web technologies,Software Engineering,security,Network Security Engineer
72.22880453,78.0742179,3,4,4,3,no,no,app development,web technologies,Software Engineering,system developer,Network Security Engineer
72.22532221,78.07759097,5,5,2,6,no,no,hadoop,database security,Management,security,Network Security Engineer
72.2218399,78.08096404,2,0,9,8,no,no,information security,system designing,IOT,Business process analyst,Network Security Engineer
72.21835758,78.08433711,3,1,2,8,no,no,python,data science,Management,testing,Network Security Engineer
72.21487526,78.08771017,7,0,1,3,yes,yes,information security,database security,Software Engineering,Business process analyst,Network Security Engineer
72.21139294,78.09108324,2,5,1,4,no,no,python,database security,parallel computing,testing,Network Security Engineer
72.20791062,78.09445631,2,5,5,1,no,no,full stack,database security,data engineering,system developer,Network Security Engineer
72.20442831,78.09782938,2,5,1,4,yes,yes,python,hacking,Computer Architecture,testing,Network Security Engineer
72.20094599,78.10120245,9,3,4,7,yes,no,r programming,testing,Computer Architecture,system developer,Network Security Engineer
72.19746367,78.10457552,9,1,1,9,yes,no,app development,web technologies,Software Engineering,cloud computing,Software Developer
72.19398135,78.10794859,2,5,1,8,no,no,python,data science,cloud computing,security,Software Developer
72.19049903,78.11132166,4,5,6,1,no,yes,information security,system designing,hacking,testing,Software Developer
72.18701672,78.11469473,9,6,4,2,yes,no,machine learning,cloud computing,Computer Architecture,security,Software Developer
72.1835344,78.1180678,7,0,3,1,no,yes,app development,system designing,Management,system developer,Software Developer
72.18005208,78.12144087,6,5,6,8,yes,no,full stack,game development,Computer Architecture,system developer,Software Developer
72.17656976,78.12481394,6,0,3,4,yes,yes,python,database security,hacking,developer,Software Developer
72.17308744,78.12818701,3,4,5,2,no,no,machine learning,database security,IOT,system developer,Software Developer
72.16960513,78.13156008,8,4,1,4,yes,yes,information security,game development,programming,developer,Software Developer
72.16612281,78.13493315,9,6,6,8,no,no,app development,data science,parallel computing,cloud computing,Software Developer
72.16264049,78.13830622,4,4,2,1,no,no,app development,web technologies,networks,testing,Software Developer
72.15915817,78.14167929,9,5,5,3,yes,no,machine learning,hacking,data engineering,developer,Software Developer
72.15567585,78.14505236,5,0,8,2,no,yes,machine learning,cloud computing,networks,system developer,Software Developer
72.15219354,78.14842543,2,6,6,2,yes,yes,information security,hacking,data engineering,testing,Software Developer
72.14871122,78.1517985,8,3,9,3,no,no,r programming,system designing,programming,security,Software Developer
72.1452289,78.15517156,2,2,8,5,yes,yes,machine learning,game development,cloud computing,developer,Software Developer
72.14174658,78.15854463,4,0,1,1,yes,yes,r programming,web technologies,programming,testing,Software Developer
72.13826427,78.1619177,1,1,8,8,yes,yes,hadoop,testing,parallel computing,Business process analyst,Software Developer
72.13478195,78.16529077,7,6,1,9,yes,no,machine learning,system designing,Management,Business process analyst,Software Developer
72.13129963,78.16866384,7,1,7,4,yes,yes,full stack,game development,hacking,security,Software Developer
72.12781731,78.17203691,1,5,8,1,yes,no,r programming,testing,Management,system developer,Software Developer
72.12433499,78.17540998,7,4,2,8,no,yes,distro making,hacking,Computer Architecture,security,Software Developer
72.12085268,78.17878305,8,4,4,2,no,yes,shell programming,testing,networks,Business process analyst,Software Developer
72.11737036,78.18215612,4,4,6,6,yes,no,information security,hacking,networks,Business process analyst,Software Developer
72.11388804,78.18552919,8,2,2,4,no,yes,shell programming,system designing,Management,security,Software Developer
72.11040572,78.18890226,9,6,9,3,yes,no,r programming,web technologies,parallel computing,cloud computing,Software Developer
72.1069234,78.19227533,3,0,6,6,yes,yes,hadoop,data science,Software Engineering,developer,Software Developer
72.10344109,78.1956484,1,1,1,2,yes,yes,hadoop,testing,Management,security,Software Developer
72.09995877,78.19902147,5,2,4,6,no,no,r programming,data science,networks,Business process analyst,Software Developer
72.09647645,78.20239454,3,3,9,4,no,no,python,system designing,data engineering,testing,Software Developer
72.09299413,78.20576761,6,4,8,2,no,yes,information security,game development,networks,testing,Software Developer
72.08951181,78.20914068,6,0,3,8,no,no,machine learning,system designing,Computer Architecture,cloud computing,Software Developer
72.0860295,78.21251375,8,0,6,4,yes,no,shell programming,web technologies,networks,cloud computing,Software Developer
72.08254718,78.21588682,5,1,2,6,yes,no,distro making,cloud computing,hacking,security,Software Developer
72.07906486,78.21925989,3,5,2,6,no,yes,r programming,system designing,data engineering,security,Software Developer
72.07558254,78.22263295,1,1,6,2,no,yes,r programming,web technologies,Computer Architecture,testing,Software Developer
72.07210022,78.22600602,4,4,5,4,no,yes,information security,database security,Software Engineering,testing,Software Developer
72.06861791,78.22937909,9,4,1,3,no,no,information security,system designing,Software Engineering,Business process analyst,Software Developer
72.06513559,78.23275216,6,0,4,6,yes,yes,app development,testing,IOT,Business process analyst,Software Developer
72.06165327,78.23612523,4,6,6,4,no,yes,full stack,cloud computing,Computer Architecture,security,Software Developer
72.05817095,78.2394983,4,0,3,7,no,yes,python,web technologies,networks,cloud computing,Software Developer
72.05468863,78.24287137,9,6,2,2,yes,yes,full stack,game development,programming,testing,Software Developer
72.05120632,78.24624444,1,2,6,9,no,no,distro making,hacking,IOT,cloud computing,Software Developer
72.047724,78.24961751,3,5,5,4,no,yes,python,hacking,networks,developer,Software Developer
72.04424168,78.25299058,5,3,1,9,no,no,shell programming,data science,data engineering,Business process analyst,Software Developer
72.04075936,78.25636365,7,6,1,8,no,no,shell programming,web technologies,data engineering,developer,Software Developer
72.03727705,78.25973672,6,4,8,9,yes,no,app development,database security,Computer Architecture,security,Software Developer
72.03379473,78.26310979,7,4,3,7,no,no,shell programming,testing,data engineering,Business process analyst,Software Developer
72.03031241,78.26648286,1,4,3,4,yes,yes,r programming,game development,Management,cloud computing,Software Developer
72.02683009,78.26985593,5,4,9,3,no,yes,machine learning,game development,Management,cloud computing,Software Developer
72.02334777,78.273229,4,2,9,6,yes,yes,information security,testing,Management,developer,Software Developer
72.01986546,78.27660207,8,2,7,2,no,yes,information security,testing,Management,testing,Software Developer
72.01638314,78.27997514,1,3,5,2,yes,no,app development,web technologies,parallel computing,testing,Software Developer
72.01290082,78.28334821,6,2,7,4,no,no,information security,hacking,IOT,security,Software Developer
72.0094185,78.28672127,5,3,5,9,yes,no,machine learning,database security,IOT,security,Software Developer
72.00593618,78.29009434,4,0,4,3,yes,yes,python,game development,cloud computing,Business process analyst,Software Developer
72.00245387,78.29346741,4,3,2,9,yes,no,machine learning,game development,parallel computing,system developer,Software Developer
71.99897155,78.29684048,9,0,9,1,no,no,python,cloud computing,parallel computing,security,Software Developer
71.99548923,78.30021355,1,2,6,6,yes,no,information security,game development,networks,cloud computing,Software Developer
71.99200691,78.30358662,2,1,6,6,yes,yes,app development,database security,programming,security,Software Developer
71.98852459,78.30695969,1,6,6,6,yes,yes,distro making,database security,hacking,testing,Software Developer
71.98504228,78.31033276,5,3,2,3,no,no,information security,game development,programming,security,Software Developer
71.98155996,78.31370583,7,3,9,7,yes,yes,app development,system designing,Software Engineering,system developer,Software Developer
71.97807764,78.3170789,7,6,7,1,yes,yes,information security,web technologies,hacking,developer,Software Developer
71.97459532,78.32045197,5,3,7,1,yes,yes,information security,testing,data engineering,system developer,Software Developer
71.971113,78.32382504,9,1,3,8,yes,no,python,web technologies,parallel computing,security,Software Developer
71.96763069,78.32719811,7,5,1,1,yes,yes,shell programming,web technologies,programming,security,Software Developer
71.96414837,78.33057118,9,0,9,8,no,yes,python,hacking,networks,security,Software Developer
71.96066605,78.33394425,2,3,4,4,no,yes,machine learning,cloud computing,networks,Business process analyst,Software Developer
